name,alcohol,character,class
Klein Constantia Sauvignon Blanc 2019/20,13.5,1,Sauvignon Blanc
Montes Single Vineyard Chardonnay 2018/19,14.5,1,Chardonnay
Pedro Ximenez Triana Hidalgo Sherry,15.0,8,
Hidalgo 'Pastrana' Pasada Manzanilla Sherry,15.0,1,
Hidalgo Manzanilla Sherry La Gitana 50cl,15.0,1,
Agricola Fuster 'Dardell' Organic White 2020,13.5,1,
Gaillac Perle 'Evocation' 2019,12.0,1,
Domaine Rolet Arbois Chardonnay 2016,13.0,1,Chardonnay
Caves des Grand Crus Blancs Pouilly-Vinzelles 2019/20,13.5,1,
Alain Chavy 'Les Champs Gains’ Puligny-Montrachet Premier Cru 2017/18,13.0,1,
La Raia 'Il Borgo' Gavi 2020,12.5,1,Gavi
Pommery 'Brut Royal' Champagne,12.5,1,
Devil's Creek 'Gold Reserve' Sauvignon Blanc 2020,12.5,1,Sauvignon Blanc
Eight Thousand Lakes Sauvignon Blanc 2018,13.0,1,Sauvignon Blanc
Yellow Tail Chardonnay 2020/21,13.0,1,Chardonnay
Emma Marris Sauvignon Blanc 2019/21,13.0,1,Sauvignon Blanc
Tahbilk 'The Tower' Marsanne 2019,12.0,1,
Definition Sancerre 2019/20,13.5,1,Sancerre
Domaine Bernard Michaut 'Beauroy' Chablis Premier Cru 2019/20,13.5,1,
Oliver Dubois Muscadet 2019/20,12.0,1,
Viré-Clessé 'Haute Cuvée' 2019/20 Rijckaert F. Rouve,13.0,1,
Baileyana ‘Firepeak' Chardonnay 2018,14.0,1,Chardonnay
M. Chapoutier Domaine des Granges de Mirabel Viognier 2019,13.5,1,
Definition Chablis 2019/20,12.5,1,
Villa Maria 'Cellar Selection' Albariño 2020,13.5,1,Albariño
Château Guiraud 'G de Guiraud' Organic Sémillon/Sauvignon Blanc 2019/20,14.0,1,Sauvignon Blanc
Acacia Road Chardonnay 2020,13.0,1,Chardonnay
BenMarco Plata Chardonnay 2020,14.5,1,Chardonnay
Luis Felipe Edwards 'Late Harvest' Viognier/Sauvignon Blanc 2018/19 Half Bottle,12.5,none,Sauvignon Blanc
Saladini Pilastri Pecorino 2020,13.5,1,
Definition Prosecco DOC,11.0,1,
DeMorgenzon 'DMZ' Chenin Blanc 2020/21,14.0,1,
Schloss Vollrads Riesling Kabinett Trocken 2018,12.5,3,Riesling
Alain Jaume 'La Butte d'Or' Condrieu 2020,14.0,2,
Códax 'Cantigas' Albariño 2018/19,13.0,1,Albariño
Taylors Fine White 50cl,20.0,1,
Triplica Greco di Tufo DOCG 2019/20,13.0,1,
Anna's Way Viognier 2020,14.5,1,
Tbilvino 'Qvevris Rkatsitelli' 2019/20,12.5,none,
Domäne Wachau 'Smaragd' Grüner Veltliner 2019/20,13.5,2,
Majestic Crisp and Zesty 2021,12.5,2,
The Hunting Lodge 'Home Block' Sauvignon Blanc 2019,13.5,1,Sauvignon Blanc
Parcel Series Sauvignon Blanc 2019,13.0,2,Sauvignon Blanc
Cave Vinicole de Hunawihr 'Calixte 5' Cremant d'Alsace Brut,12.0,2,
Robert Oatley 'Signature Series' Chardonnay 2019/20,13.1,2,Chardonnay
Christina Ascheri Gavi di Gavi DOCG 2020,13.0,4,Gavi
Dourthe Réserve Sauvignon Blanc 2019/20,12.5,1,Sauvignon Blanc
Castelnau de Suduiraut 2014 Sauternes Half Bottle,13.5,8,
Caves des Vignerons de Buxy 'Vieilles Vignes' Montagny 2018,13.0,1,
Mâcon-Fuissé Vieilles Vignes Christophe Cordier 2019/20,13.5,1,
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Gewürztraminer 2018/19,14.0,3,
Contesa Pecorino 2020 IGT Colline Pescaresi,12.5,1,
Surani Pietrariccia Fiano 2020,13.0,1,
Inama Soave Classico DOC 2019/20,12.0,1,
Nals Margreid 'Stella Alpina' Pinot Grigio 2019/20,13.5,1,Pinot Grigio
Olivier Dubois 'Cuvée Prestige' Sauvignon Blanc 2019/20,13.0,1,Sauvignon Blanc
Villemarin Picpoul de Pinet 2020/21,13.0,1,
Definition Viognier 2019/20,14.0,1,
Definition Albariño 2020,13.0,1,Albariño
Domaine de Saint Ferréol 'Grande Réserve' Viognier 2016/17,13.0,1,
Definition Chardonnay 2019/20,13.5,1,Chardonnay
Wolf Blass Yellow Label Chardonnay 2020/21,13.5,1,Chardonnay
Laurent-Perrier 'La Cuvée' Champagne,12.0,1,
Moët et Chandon 'Grand Vintage' 2012/13 Champagne,12.5,1,
Bollinger ‘Grande Année’ Champagne 2012,12.0,1,
Laurent-Perrier Millésimé 2008 Champagne,12.0,1,
Krug Grande Cuvée Champagne,12.5,1,
La Gioiosa Prosecco DOC,11.0,1,
Pasqua 'Romeo and Juliet' Prosecco DOC Brut,11.0,1,
Waimea Estates Gewürztraminer 2020/21,13.5,3,
The King's Favour Sauvignon Blanc 2020,13.0,1,Sauvignon Blanc
Waimea Estates Sauvignon Gris 2020/21,14.0,1,
Errazuriz Wild Ferment Chardonnay 2019/20,13.0,1,Chardonnay
Errazuriz Single Vineyard Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Edna Valley Chardonnay 2018/19,14.0,1,Chardonnay
Pedro's Almacenista Selection Fino,15.0,1,
Domaine la Hitaire 'Les Tours' 2019/20,10.5,1,
Louis Latour 'La Grande Roche' Montagny Premier Cru 2019/20,13.5,1,
Petaluma 'Hanlin Hill' Riesling 2019/20,13.5,1,Riesling
Alain Chavy 'Clavoillons’ Puligny-Montrachet Premier Cru 2017/18,13.5,1,
Winzer Krems Grüner Veltliner 2020,12.5,1,
Definition Grüner Veltliner 2018/20,12.5,1,
Aqualta Prosecco Frizzante Treviso DOC,10.5,1,
Villa Maria 'Taylors Pass' Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc
Ayala 'Brut Majeur' Extra Age Champagne,12.0,1,
Fincher and Co. Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
Drappier 'Signature' Blanc de Blancs Brut Champagne,12.0,1,
Babich Organic Sauvignon Blanc 2019/20,13.0,1,Sauvignon Blanc
Jomain Frères Bourgogne Blanc 2018/19,14.5,1,
Edouard Delaunay 'Septembre' Chardonnay 2019/20,13.0,1,Chardonnay
"Vouvray Sec ""Expresion de Silex"" 2019/20",12.5,1,
Domaine Gayda 'Figure Libre' Freestyle Blanc 2019,14.5,1,
Le Voyage d'Odette Sauvignon Blanc 2020,11.5,1,Sauvignon Blanc
