name,alcohol,character,class,beverage
Viré-Clessé Vieilles Vignes 2019/20 Christophe Cordier,13.5,1,,1
Jean Vincent Pouilly-Fumé 2018/19,13.5,1,,1
Gewürztraminer 'Les Princes Abbés' 2018/19 Domaines Schlumberger,13.5,2,,1
Grüner Veltliner Weingärten Weissenkirchen 2020/21,12.5,1,,1
Araldica Gavi DOCG 2020,12.5,1,Gavi,1
Fattori Soave 2020,12.5,1,,1
Planeta Chardonnay 2018/19,14.0,1,Chardonnay,1
Falanghina 2020 Terredora,13.5,1,,1
Martín Códax 'Caixas' Albariño 2019/20,12.5,1,Albariño,1
Pouilly-Fumé de Ladoucette 2018/19,13.5,1,,1
Jean-Pierre Bailly Pouilly-Fumé 'Les Griottes' 2020/21,14.0,1,,1
Cuvée de Richard Blanc 2019/20,11.5,1,,1
Domaine Sainte Rose 'La Nuit Blanche' Roussanne 2019,14.5,1,,1
López de Haro Rioja Blanco 2020,12.5,1,Rioja,1
La Belle Angèle Sauvignon Blanc 2020,12.0,1,Sauvignon Blanc,1
Petaluma Chardonnay 2019,14.0,1,Chardonnay,1
Nicolas Courtin Brut Champagne,12.0,1,,1
Devaux 'Augusta' Brut Champagne,12.0,1,,1
Veuve Clicquot Champagne Magnum,12.0,1,,1
Taittinger Comtes de Champagne 2011,12.5,1,,1
Heidsieck and Co. Monopole 'Bronze Top' Brut Champagne,12.5,1,,1
Nicolas Feuillatte 2010 Champagne,12.0,1,,1
Krasno Sauvignon Blanc-Ribolla Gialla 2020,13.0,1,Sauvignon Blanc,1
Royal Tokaji 'Dry Tokaji' 2018/19,13.0,1,Tokaji,1
Louis Roederer Quartet,12.5,1,,1
Waimea Estates Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Villa Maria 'Private Bin' Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Oyster Bay Chardonnay 2019/20,13.0,1,Chardonnay,1
The Ned Noble Sauvignon Blanc 2018/19 Half Bottle,9.5,7,Sauvignon Blanc,1
Waimea Estates Grüner Veltliner 2018/21,13.0,1,,1
Pegasus Bay 'Main Divide' Riesling 2016,13.0,4,Riesling,1
Catena Alta Chardonnay 2019,14.0,1,Chardonnay,1
Ten Minutes By Tractor Estate Chardonnay 2018,14.0,1,Chardonnay,1
Klein Constantia Sauvignon Blanc 2019/20,13.5,1,Sauvignon Blanc,1
Pedro Ximenez Triana Hidalgo Sherry,15.0,8,,1
Hidalgo 'Pastrana' Pasada Manzanilla Sherry,15.0,1,,1
Hidalgo Manzanilla Sherry La Gitana 50cl,15.0,1,,1
Agricola Fuster 'Dardell' Organic White 2020,13.5,1,,1
Gaillac Perle 'Evocation' 2019,12.0,1,,1
Domaine Rolet Arbois Chardonnay 2016,13.0,1,Chardonnay,1
Caves des Grand Crus Blancs Pouilly-Vinzelles 2019/20,13.5,1,,1
Alain Chavy 'Les Champs Gains’ Puligny-Montrachet Premier Cru 2017/18,13.0,1,,1
Eight Thousand Lakes Sauvignon Blanc 2018,13.0,1,Sauvignon Blanc,1
Tahbilk 'The Tower' Marsanne 2019,12.0,1,,1
Bouvet Saphir 2018/19,12.5,1,,1
Bouvet Ladubay 'Blanc de Blancs' Crémant de Loire 2019,12.5,1,,1
Definition Sancerre 2019/20,13.5,1,Sancerre,1
Domaine Bernard Michaut 'Beauroy' Chablis Premier Cru 2019/20,13.5,1,,1
Oliver Dubois Muscadet 2019/20,12.0,1,,1
Viré-Clessé 'Haute Cuvée' 2019/20 Rijckaert F. Rouve,13.0,1,,1
Baileyana ‘Firepeak' Chardonnay 2018,14.0,1,Chardonnay,1
M. Chapoutier Domaine des Granges de Mirabel Viognier 2019,13.5,1,,1
Definition Chablis 2019/20,12.5,1,,1
Villa Maria 'Cellar Selection' Albariño 2020,13.5,1,Albariño,1
Château Guiraud 'G de Guiraud' Organic Sémillon/Sauvignon Blanc 2019/20,14.0,1,Sauvignon Blanc,1
Acacia Road Chardonnay 2020,13.0,1,Chardonnay,1
BenMarco Plata Chardonnay 2020,14.5,1,Chardonnay,1
Luis Felipe Edwards 'Late Harvest' Viognier/Sauvignon Blanc 2018/19 Half Bottle,12.5,none,Sauvignon Blanc,1
Saladini Pilastri Pecorino 2020,13.5,1,,1
Definition Prosecco DOC,11.0,1,,1
DeMorgenzon 'DMZ' Chenin Blanc 2020/21,14.0,1,Chenin Blanc,1
Schloss Vollrads Riesling Kabinett Trocken 2018,12.5,3,Riesling,1
Alain Jaume 'La Butte d'Or' Condrieu 2020,14.0,2,,1
Códax 'Cantigas' Albariño 2018/19,13.0,1,Albariño,1
Triplica Greco di Tufo DOCG 2019/20,13.0,1,,1
Anna's Way Viognier 2020,14.5,1,,1
Tbilvino 'Qvevris Rkatsitelli' 2019/20,12.5,none,,1
Domäne Wachau 'Smaragd' Grüner Veltliner 2019/20,13.5,2,,1
Majestic Crisp and Zesty 2021,12.5,2,,1
The Hunting Lodge 'Home Block' Sauvignon Blanc 2019,13.5,1,Sauvignon Blanc,1
Parcel Series Sauvignon Blanc 2019,13.0,2,Sauvignon Blanc,1
Cave Vinicole de Hunawihr 'Calixte 5' Cremant d'Alsace Brut,12.0,2,,1
Robert Oatley 'Signature Series' Chardonnay 2019/20,13.1,2,Chardonnay,1
Pommery 'Brut Royal' Champagne,12.5,1,,1
Silver Ghost Sauvignon Blanc 2020/21 Central Valley,12.0,1,Sauvignon Blanc,1
The Ned Pinot Grigio 2020/21,14.0,1,Pinot Grigio,1
Yellow Tail Chardonnay 2020/21,13.0,1,Chardonnay,1
Emma Marris Sauvignon Blanc 2019/21,13.0,1,Sauvignon Blanc,1
Christina Ascheri Gavi di Gavi DOCG 2020,13.0,4,Gavi,1
Villa Vito Pinot Grigio 2019/20,12.0,1,Pinot Grigio,1
Vavasour Sauvignon Blanc 2021,13.5,1,Sauvignon Blanc,1
Veuve Clicquot Brut Champagne,12.0,1,,1
Acacia Road Chenin Blanc 2020/21,12.5,1,Chenin Blanc,1
Pasqua 'PassionSentimento' Passimento Bianco 2019/20,13.0,1,,1
La Raia 'Il Borgo' Gavi 2020,12.5,1,Gavi,1
Devil's Creek 'Gold Reserve' Sauvignon Blanc 2020,12.5,1,Sauvignon Blanc,1
Cloudy Bay Te Koko 2019,14.0,1,,1
Dourthe Réserve Sauvignon Blanc 2019/20,12.5,1,Sauvignon Blanc,1
Castelnau de Suduiraut 2014 Sauternes Half Bottle,13.5,8,,1
Caves des Vignerons de Buxy 'Vieilles Vignes' Montagny 2018/19,14.0,1,,1
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Gewürztraminer 2018/19,14.0,3,,1
Contesa Pecorino 2020 IGT Colline Pescaresi,12.5,1,,1
Surani Pietrariccia Fiano 2020,13.0,1,,1
Inama Soave Classico DOC 2019/20,12.0,1,,1
Olivier Dubois 'Cuvée Prestige' Sauvignon Blanc 2019/20,13.0,1,Sauvignon Blanc,1
Villemarin Picpoul de Pinet 2020/21,13.0,1,,1
Definition Albariño 2020,13.0,1,Albariño,1
Domaine de Saint Ferréol 'Grande Réserve' Viognier 2016/17,13.0,1,,1
Definition Chardonnay 2019/20,13.5,1,Chardonnay,1
Moët et Chandon 'Grand Vintage' 2012/13 Champagne,12.5,1,,1
Bollinger ‘Grande Année’ Champagne 2012,12.0,1,,1
Laurent-Perrier Millésimé 2008 Champagne,12.0,1,,1
Krug Grande Cuvée Champagne,12.5,1,,1
Waimea Estates Gewürztraminer 2020/21,13.5,3,,1
The King's Favour Sauvignon Blanc 2020,13.0,1,Sauvignon Blanc,1
Waimea Estates Sauvignon Gris 2020/21,14.0,1,,1
Acacia Road Sauvignon Blanc 2019/20,12.5,1,Sauvignon Blanc,1
Errazuriz Wild Ferment Chardonnay 2019/20,13.0,1,Chardonnay,1
Edna Valley Chardonnay 2018/19,14.0,1,Chardonnay,1
Pedro's Almacenista Selection Fino,15.0,1,,1
Domaine la Hitaire 'Les Tours' 2019/20,10.5,1,,1
Louis Latour 'La Grande Roche' Montagny Premier Cru 2019/20,13.5,1,,1
Petaluma 'Hanlin Hill' Riesling 2019/20,13.5,1,Riesling,1
Alain Chavy 'Clavoillons’ Puligny-Montrachet Premier Cru 2017/18,13.5,1,,1
Definition Grüner Veltliner 2018/20,12.5,1,,1
Aqualta Prosecco Frizzante Treviso DOC,10.5,1,,1
Villa Maria 'Taylors Pass' Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc,1
Ayala 'Brut Majeur' Extra Age Champagne,12.0,1,,1
Fincher and Co. Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc,1
Drappier 'Signature' Blanc de Blancs Brut Champagne,12.0,1,,1
Babich Organic Sauvignon Blanc 2019/20,13.0,1,Sauvignon Blanc,1
Jomain Frères Bourgogne Blanc 2018/19,14.5,1,,1
Edouard Delaunay 'Septembre' Chardonnay 2019/20,13.0,1,Chardonnay,1
"Vouvray Sec ""Expresion de Silex"" 2019/20",12.5,1,,1
Domaine Gayda 'Figure Libre' Freestyle Blanc 2019,14.5,1,,1
Le Voyage d'Odette Sauvignon Blanc 2020,11.5,1,Sauvignon Blanc,1
Chablis 1er Cru Vaillons 2020 Séguinot-Bordet,13.0,1,,1
Côtes-du-Rhône Blanc 2020 Vidal Fleury,14.0,1,,1
Domaine Maire 'Heritage' Chardonnay 2018,12.0,1,Chardonnay,1
Saint Véran 'Haute Cuvée' 2019 Rijckaert F. Rouve,13.0,1,,1
